DATE,SEC_NAME,EXE_MODE,EXE_PRICE,EXE_ENDDATE,CLOSE
2015/02/12,50ETF购2015年3月2.25,认购,2.25,2015/03/25 00:00,0.169
2015/02/12,50ETF购2015年3月2.30,认购,2.3,2015/03/25 00:00,0.1323
2015/02/12,50ETF购2015年3月2.35,认购,2.35,2015/03/25 00:00,0.1009
2015/02/12,50ETF沽2015年3月2.20,认沽,2.2,2015/03/25 00:00,0.0224
2015/02/12,50ETF沽2015年3月2.25,认沽,2.25,2015/03/25 00:00,0.032
2015/02/12,50ETF沽2015年3月2.30,认沽,2.3,2015/03/25 00:00,0.0471
2015/02/12,50ETF沽2015年3月2.35,认沽,2.35,2015/03/25 00:00,0.0657
2015/02/12,50ETF沽2015年3月2.40,认沽,2.4,2015/03/25 00:00,0.0888
2015/02/12,50ETF购2015年4月2.20,认购,2.2,2015/04/22 00:00,0.2266
2015/02/12,50ETF购2015年4月2.25,认购,2.25,2015/04/22 00:00,0.1927
2015/02/12,50ETF购2015年4月2.30,认购,2.3,2015/04/22 00:00,0.1569
2015/02/12,50ETF购2015年4月2.35,认购,2.35,2015/04/22 00:00,0.1278
2015/02/12,50ETF购2015年4月2.40,认购,2.4,2015/04/22 00:00,0.1048
2015/02/12,50ETF沽2015年4月2.20,认沽,2.2,2015/04/22 00:00,0.0372
2015/02/12,50ETF沽2015年4月2.25,认沽,2.25,2015/04/22 00:00,0.0506
2015/02/12,50ETF沽2015年4月2.30,认沽,2.3,2015/04/22 00:00,0.0687
2015/02/12,50ETF沽2015年4月2.35,认沽,2.35,2015/04/22 00:00,0.0897
2015/02/12,50ETF沽2015年4月2.40,认沽,2.4,2015/04/22 00:00,0.1139
2015/02/12,50ETF购2015年6月2.20,认购,2.2,2015/06/24 00:00,0.2672
2015/02/12,50ETF购2015年6月2.25,认购,2.25,2015/06/24 00:00,0.2359
2015/02/12,50ETF购2015年6月2.30,认购,2.3,2015/06/24 00:00,0.2059
2015/02/12,50ETF购2015年6月2.35,认购,2.35,2015/06/24 00:00,0.1796
2015/02/12,50ETF购2015年6月2.40,认购,2.4,2015/06/24 00:00,0.1558
2015/02/12,50ETF沽2015年6月2.20,认沽,2.2,2015/06/24 00:00,0.0735
2015/02/12,50ETF沽2015年6月2.25,认沽,2.25,2015/06/24 00:00,0.0912
2015/02/12,50ETF沽2015年6月2.30,认沽,2.3,2015/06/24 00:00,0.111
2015/02/12,50ETF沽2015年6月2.35,认沽,2.35,2015/06/24 00:00,0.134
2015/02/12,50ETF沽2015年6月2.40,认沽,2.4,2015/06/24 00:00,0.1586
2015/02/12,50ETF购2015年9月2.20,认购,2.2,2015/09/23 00:00,0.3177
2015/02/12,50ETF购2015年9月2.25,认购,2.25,2015/09/23 00:00,0.2867
2015/02/12,50ETF购2015年9月2.30,认购,2.3,2015/09/23 00:00,0.2579
2015/02/12,50ETF购2015年9月2.35,认购,2.35,2015/09/23 00:00,0.2352
2015/02/12,50ETF购2015年9月2.40,认购,2.4,2015/09/23 00:00,0.2134
2015/02/12,50ETF沽2015年9月2.20,认沽,2.2,2015/09/23 00:00,0.116
2015/02/12,50ETF沽2015年9月2.25,认沽,2.25,2015/09/23 00:00,0.1311
